sample	Pop	Count_LinesInFile	Count_HomDer_Calls	Count_Het_Calls	Count_HomAnc_Calls	Total_DerAlleles	Count_HomDerSyn_Calls	Count_HomDerNonSyn_Calls	Count_HomDerLOF_Calls	Count_HetSyn_Calls	Count_HetNonSyn_Calls	Count_HetLOF_Calls	Total_DerAlleles_SYN	Total_DerAlleles_NONSYN	Total_DerAlleles_LOF	Ct_Lines_HomDerNoGERPScore	Ct_Lines_HetNoGERPScore	GERPScore_AllDerAlleles	GERPScore_HomDerSites	av_GERP_Total_DerAlleles	av_GERP_Total_HomDer_Sites	Ct_NONSYNDeralleles_GERPmt4	Ct_SYNDeralleles_GERPlt2	Count_SYN_homder_calls_GERPlt2	Count_NON_homder_calls_GERPmt4	Count_SYN_het_calls_GERPlt2	Count_NON_het_calls_GERPmt4	count_LOF_site_called	count_syn_site_called	count_nonsyn_site_called	count_LOF_site_called	count_synlt2_site_called	count_nonsynmt4_site_called
CR004_2778	CR	693279	9324	8387	675568	27035	5632	3671	21	4570	3790	27	15834	11132	69	0	1.0	-26659.638	-11290.823	-0.986225140574	-1.21107186528	2985	12013	4331	916	3351	1153	8612	262729	421938	8612	185273	219007
CR004_2785	CR	693279	9319	8422	675538	27060	5625	3679	15	4626	3759	37	15876	11117	67	0	2.0	-26941.339	-11255.034	-0.995762086044	-1.20788087572	2984	12088	4349	911	3390	1162	8612	262729	421938	8612	185273	219007
CR004_2786	CR	693279	9383	8314	675582	27080	5653	3709	21	4558	3732	24	15864	11150	66	0	1.0	-27022.004	-11396.606	-0.997968903497	-1.21473097421	3011	12080	4361	918	3358	1175	8612	262729	421938	8612	185273	219007
CR004_2788	CR	693279	9429	8260	675590	27118	5649	3759	21	4590	3644	26	15888	11162	68	0	2.0	-27531.692	-11510.132	-1.01540503061	-1.2208455664	2941	12088	4356	922	3376	1097	8612	262729	421938	8612	185273	219007
CR004_2790	CR	693279	9449	8193	675637	27091	5713	3711	25	4490	3679	24	15916	11101	74	0	0.0	-28075.33	-11865.657	-1.0364872448	-1.25602381708	2926	12178	4419	918	3340	1090	8612	262729	421938	8612	185273	219007
CR004_294	CR	693279	9152	8650	675477	26954	5514	3617	21	4786	3840	24	15814	11074	66	0	0.0	-27487.171	-11478.449	-1.01993213358	-1.25447530055	2937	12081	4262	875	3557	1187	8612	262729	421938	8612	185273	219007
CR004_439	CR	693279	9331	8574	675374	27236	5631	3681	19	4620	3922	32	15882	11284	70	0	1.0	-26115.277	-11212.885	-0.958957037418	-1.20180975348	3038	12093	4333	915	3427	1208	8612	262729	421938	8612	185273	219007
CR004_456	CR	693279	9488	8125	675666	27101	5710	3756	22	4383	3711	31	15803	11223	75	0	0.0	-27289.956	-11835.149	-1.0071209359	-1.24764379085	2998	12090	4436	918	3218	1162	8612	262729	421938	8612	185273	219007
CR004_457	CR	693279	9268	8519	675492	27055	5562	3690	16	4670	3811	38	15794	11191	70	0	1.0	-27044.902	-11239.295	-0.999737616442	-1.21282993418	2992	12056	4290	926	3476	1140	8612	262729	421938	8612	185273	219007
CR004_464	CR	693279	9345	8355	675579	27045	5632	3692	21	4543	3788	24	15807	11172	66	0	0.0	-27826.385	-11417.748	-1.02904422913	-1.22206443327	3000	12076	4336	928	3404	1144	8612	262729	421938	8612	185273	219007
